,2gram,Freq,Group,Satisfaction,id
0,muchas gracias,17,Soporte OFFCORSS,good,Soporte
1,excelente atención,9,Soporte OFFCORSS,good,Soporte
2,excelente servicio,7,Soporte OFFCORSS,good,Soporte
3,buena atención,7,Soporte OFFCORSS,good,Soporte
4,buen servicio,7,Soporte OFFCORSS,good,Soporte
5,esperando pedido,6,Soporte OFFCORSS,bad,Soporte
6,buenas tardes,5,Soporte OFFCORSS,bad,Soporte
7,servicio cliente,5,Soporte OFFCORSS,bad,Soporte
8,atención cliente,5,Soporte OFFCORSS,bad,Soporte
9,pésimo servicio,5,Soporte OFFCORSS,bad,Soporte
10,excelente servicio,28,Call Center,good,Call.C
11,buen servicio,17,Call Center,good,Call.C
12,muchas gracias,15,Call Center,good,Call.C
13,buena atención,11,Call Center,good,Call.C
14,excelente atención,6,Call Center,good,Call.C
15,servicio cliente,12,Call Center,bad,Call.C
16,pésimo servicio,6,Call Center,bad,Call.C
17,dieron respuesta,5,Call Center,bad,Call.C
18,publicidad engañosa,5,Call Center,bad,Call.C
19,dado respuesta,4,Call Center,bad,Call.C
20,muchas gracias,12,Tienda Virtual,good,T.Virtual
21,buen servicio,10,Tienda Virtual,good,T.Virtual
22,excelente atención,8,Tienda Virtual,good,T.Virtual
23,excelente servicio,7,Tienda Virtual,good,T.Virtual
24,servicio rápido,4,Tienda Virtual,good,T.Virtual
25,servicio cliente,11,Tienda Virtual,bad,T.Virtual
26,mala atención,4,Tienda Virtual,bad,T.Virtual
27,pésimo servicio,4,Tienda Virtual,bad,T.Virtual
28,atención cliente,4,Tienda Virtual,bad,T.Virtual
29,tratando comunicarme,4,Tienda Virtual,bad,T.Virtual
30,excelente servicio,6,Venta Directa,good,Venta.D
31,buena atención,5,Venta Directa,good,Venta.D
32,mil gracias,3,Venta Directa,good,Venta.D
33,muchas gracias,2,Venta Directa,good,Venta.D
34,servicio gracias,2,Venta Directa,good,Venta.D
35,triste ver,2,Venta Directa,bad,Venta.D
36,hola lento,1,Venta Directa,bad,Venta.D
37,lento solicitud,1,Venta Directa,bad,Venta.D
38,solicitud 23,1,Venta Directa,bad,Venta.D
39,23 28,1,Venta Directa,bad,Venta.D
