,SynsetTerms
0,"able,"
1,"unable,"
2,"dissilient,"
3,"parturient,"
4,"uncut, full-length,"
5,"absolute,"
6,"direct,"
7,"unquestioning, implicit,"
8,"infinite,"
9,"living,"
10,"relative, comparative,"
11,"sorbefacient, absorbefacient,"
12,"assimilatory, assimilative, assimilating,"
13,"receptive,"
14,"nonabsorptive, nonabsorbent,"
15,"resistant, repellent,"
16,"chemosorptive, chemisorptive,"
17,"nonadsorptive, nonadsorbent,"
18,"absorbable,"
19,"adsorbate, adsorbable,"
20,"abstinent, abstentious,"
21,"spartan, austere, ascetical, ascetic,"
22,"crapulous, crapulent,"
23,"swinish, porcine, piggy, piggish, hoggish,"
24,"too-greedy, overgreedy,"
25,"notional, ideational, conceptional,"
26,"conceptual,"
27,"ideological, ideologic,"
28,"concrete,"
29,"abundant,"
30,"galore, abounding,"
31,"rich, plentiful, plenteous, copious, ample,"
32,"easy,"
33,"riotous, profuse, luxuriant, lush, exuberant,"
34,"thick,"
35,"long,"
36,"rife, plethoric, overabundant,"
37,"plentiful,"
38,"rank,"
39,"superabundant,"
40,"torrential,"
41,"verdant,"
42,"scarce,"
43,"rare,"
44,"tight,"
45,"mistreated, maltreated, ill-treated, abused,"
46,"battered,"
47,"unabused,"
48,"acceptable,"
49,"bankable,"
50,"unimpeachable, unexceptionable,"
51,"unobjectionable,"
52,"unacceptable,"
53,"objectionable, exceptionable,"
54,"accessible,"
55,"reachable, approachable,"
56,"getatable, get-at-able, come-at-able,"
57,"ready to hand, handy,"
58,"unaccessible, inaccessible,"
59,"remote, outback,"
60,"untrodden, untrod, untracked, trackless, roadless, pathless,"
61,"ungetatable, un-get-at-able, un-come-at-able,"
62,"accommodative, accommodating,"
63,"obliging, complaisant,"
64,"unobliging, unaccommodating,"
65,"uncooperative, disobliging,"
66,"accurate,"
67,"faithful, close,"
68,"dead-on,"
69,"high-fidelity, hi-fi,"
70,"surgical,"
71,"true, dead on target,"
72,"veracious, right,"
73,"inaccurate,"
74,"wrong, incorrect, faulty,"
75,"unfaithful,"
76,"wide of the mark, wide,"
77,"accustomed,"
78,"wont to, used to,"
79,"unaccustomed,"
80,"new,"
81,"unused,"
82,"acidic,"
83,"acid,"
84,"acid-forming,"
85,"alkalescent, alcalescent,"
86,"basic,"
87,"base-forming,"
88,"saltlike,"
89,"amphoteric, amphiprotic,"
90,"acid-loving,"
91,"alkaline-loving,"
92,"acknowledged,"
93,"recognized, recognised, accepted,"
94,"self-confessed,"
95,"assumptive,"
96,"declarable,"
97,"putative,"
98,"unacknowledged,"
99,"unvalued, unsung, unappreciated,"
100,"unavowed, secret,"
101,"unconfessed,"
102,"unrecognized, unrecognised,"
103,"accumulative,"
104,"voracious, ravening, rapacious,"
105,"sordid,"
106,"unacquisitive,"
107,"active,"
108,"gymnastic, athletic, acrobatic,"
109,"hot,"
110,"overactive, hyperactive,"
111,"on the go,"
112,"sporty,"
113,"inactive,"
114,"deskbound, desk-bound,"
115,"dormant, abeyant,"
116,"underactive, hypoactive,"
117,"torpid, soggy, sluggish, inert,"
118,"sedentary,"
119,"activated,"
120,"inactive,"
121,"off,"
122,"retired,"
123,"brisk,"
124,"bustling,"
125,"busy,"
126,"going,"
127,"springy,"
128,"inactive,"
129,"dead,"
130,"sluggish, slow, dull,"
131,"unused, idle,"
132,"active,"
133,"progressive,"
134,"inactive,"
135,"dead-end,"
136,"latent,"
137,"quiescent,"
138,"active,"
139,"passive, inactive,"
140,"hands-off,"
141,"unresisting, supine, resistless,"
142,"active,"
143,"eruptive,"
144,"quiescent,"
145,"dead,"
146,"active,"
147,"live, alive,"
148,"active,"
149,"activated,"
150,"counteractive,"
151,"inactive,"
152,"quiescent,"
153,"active,"
154,"quiet,"
155,"existent, actual,"
156,"effective,"
157,"potential, possible,"
158,"latent,"
159,"acute,"
160,"chronic,"
161,"degenerative,"
162,"virulent,"
163,"highly infective,"
164,"deadly,"
165,"avirulent,"
166,"adaptive, adaptative,"
167,"reconciling, accommodative,"
168,"adjustive,"
169,"maladaptive,"
170,"maladjustive,"
171,"unaddicted,"
172,"clean,"
173,"habit-forming, addictive,"
174,"nonaddictive,"
175,"additive,"
176,"addible, addable,"
177,"completing, complementary, complemental,"
178,"subtractive,"
179,"ablative,"
180,"reductive,"
181,"addressed,"
182,"unaddressed,"
183,"up to, equal to, capable, adequate to,"
184,"competent,"
185,"unequal, inadequate,"
186,"wanting, lacking, deficient,"
187,"unequal to, incompetent, incapable,"
188,"understaffed, undermanned, short-staffed, short-handed,"
189,"adhesive,"
190,"bondable,"
191,"cohesive,"
192,"gummy, gummed,"
193,"self-sealing,"
194,"stick-on,"
195,"nonadhesive,"
196,"nonviscid, nonglutinous,"
197,"nonresiny, nonresinous, non-resiny, non-resinous,"
198,"ungummed,"
199,"substantive, essential,"
200,"adoptable,"
201,"decorated, adorned,"
202,"spangly, spangled, sequined, jewelled, jeweled, gemmed, beady,"
203,"bedaubed,"
204,"spectacled, monocled, bespectacled,"
205,"buttony,"
206,"plumed, crested,"
207,"plumy, feathery, feathered,"
208,"ruffled, frilly, frilled,"
209,"fringed,"
210,"gilt-edged,"
211,"inflamed,"
212,"inlaid,"
213,"mounted,"
214,"wainscoted, paneled,"
215,"studded,"
216,"tapestried,"
217,"tasselled, tasseled,"
218,"tricked-out,"
219,"tufted,"
220,"undecorated, unadorned,"
221,"unornamented, unembellished, spare, plain, bare,"
222,"untufted,"
223,"adroit,"
224,"neat, clean,"
225,"ingenious, cunning, clever,"
226,"dextrous, dexterous, deft,"
227,"handy,"
228,"quick-witted,"
229,"maladroit,"
230,"left-handed, heavy-handed, handless, ham-handed, ham-fisted, butterfingered, bungling, bumbling,"
231,"tactless, inept,"
232,"uncoordinated,"
233,"unmechanical, nonmechanical,"
234,"advantageous,"
235,"good, beneficial,"
236,"positive, plus,"
237,"preferential, discriminatory,"
238,"disadvantageous,"
239,"negative, minus,"
240,"adventurous, adventuresome,"
241,"venturous, venturesome, daring, audacious,"
242,"sporting,"
243,"swashbuckling, swaggering,"
244,"unadventurous,"
245,"advisable,"
246,"better, best,"
247,"well,"
248,"unadvisable, inadvisable,"
249,"well-advised, advised,"
250,"unadvised, ill-advised,"
251,"anaerobiotic, anaerobic,"
252,"aerobic,"
253,"anaerobic,"
254,"esthetical, esthetic, aesthetical, aesthetic,"
255,"artistic,"
256,"painterly,"
257,"sensuous,"
258,"unaesthetic, inaesthetic,"
259,"unartistic, inartistic,"
260,"affected,"
261,"impressed,"
262,"struck, stricken, smitten,"
263,"stage-struck,"
264,"subject,"
265,"taken,"
266,"wonder-struck,"
267,"unaffected,"
268,"immune,"
269,"superior,"
270,"unimpressed,"
271,"untouched, unswayed, uninfluenced,"
272,"stilted, hokey, contrived, artificial,"
273,"strained, forced, constrained,"
274,"elocutionary,"
275,"mannered,"
276,"plummy,"
277,"unaffected,"
278,"natural, lifelike,"
279,"unmannered,"
280,"unselfconscious,"
281,"affirmatory, affirmative,"
282,"assentient,"
283,"negative,"
284,"dissident, dissenting, dissentient,"
285,"acceptive,"
286,"accepting,"
287,"rejective,"
288,"dismissive,"
289,"afraid,"
290,"acrophobic,"
291,"afeared, afeard,"
292,"shocked, dismayed, appalled, aghast,"
293,"agoraphobic,"
294,"alarmed,"
295,"algophobic,"
296,"apprehensive,"
297,"hangdog,"
298,"claustrophobic,"
299,"fearful,"
300,"scared, frightened,"
301,"horror-struck, horror-stricken, horrified,"
302,"hunted,"
303,"hydrophobic, aquaphobic,"
304,"mysophobic,"
305,"numb,"
306,"shitless,"
307,"terror-struck, terror-stricken,"
308,"triskaidekaphobic,"
309,"unnerved,"
310,"white-lipped,"
311,"xenophobic,"
312,"unafraid, fearless,"
313,"unapprehensive,"
314,"unshrinking, unintimidated, unflinching, unblinking,"
315,"unfrightened,"
316,"aggressive,"
317,"combative, bellicose, battleful,"
318,"militant, competitive,"
319,"high-pressure, hard-hitting,"
320,"in-your-face,"
321,"obstreperous,"
322,"rough, pugnacious,"
323,"scrappy,"
324,"truculent,"
325,"unaggressive, nonaggressive,"
326,"low-pressure,"
327,"agitated,"
328,"worked up, excited, emotional, aroused,"
329,"overwrought, distraught,"
330,"shaken, jolted,"
331,"hectic, feverish,"
332,"phrenetic, frenzied, frenetic, frantic,"
333,"hysterical,"
334,"psychedelic,"
335,"unagitated,"
336,"agitated,"
337,"churning, churned-up,"
338,"seething,"
339,"unagitated,"
340,"nonturbulent,"
341,"unstirred,"
342,"agreeable,"
343,"disagreeable,"
