,0
8983,"bajo fuego, bajo ataque,"
8984,indefenso
8985,Vulnerable
8986,"hermético, hermético al aire,"
8987,"a prueba de bombas, a prueba de bombas,"
8988,"defendible, defendible,"
8989,"inatacable, inexpugnable, fuerte, seguro, inviolable, inexpugnable,"
8990,Apretado
8991,Protegidas
8992,oprimido
8993,se busca
8994,"deseado, anhelado,"
8995,chaud
8996,"anhelado, deseado, anhelado,"
8997,"buscado, buscado,"
8998,No deseado
8999,abdicable
9000,"paria, sin casta,"
9001,"fuera de lugar,"
9002,no reclamado
9003,"no buscado, no deseado,"
9004,"no deseado, no deseado, no deseado,"
9005,cálido
9006,"tibio, tibio,"
9007,calentado
9008,frío
9009,programa de llamada
9010,cálido
9011,jarabe de fruta
9012,Abundante
9013,frío
9014,sin respuesta
9015,frío
9016,Sangre fría
9017,afectuoso
9018,"corazón frío,"
9019,curso frágil
9020,lavable
9021,"lavado y uso, secado por goteo,"
9022,"no lavable,"
9023,Encerado
9024,sin cera
9025,"acelerador, acelerador,"
9026,acrecionario
9027,acumulativo
9028,"maximizando, maximizando,"
9029,Con ajuste multiplicativo
9030,"maximización de beneficios, maximización de beneficios,"
9031,levantamiento
9032,disminuyendo
9033,"depreciativo, depreciativo, depreciativo,"
9034,"detractor,"
9035,disminuido
9036,caídas
9037,"allargando,"
9038,inflacionario
9039,Deflación
9040,lactante
9041,dispositivo de vestir
9042,inservible
9043,invadido por las malas hierbas
9044,deshierbe
9045,"Bienvenido,"
9046,mal acogido
9047,Uninvited
9048,"bueno,"
9049,"asintomático, asintomático,"
9050,"recuperado, curado, curado,"
9051,enfermo
9052,"herido, afligido,"
9053,angustia
9054,"malestar, mal tiempo, enfermizo, cutre, mal, puntiagudo, indispuesto, enfermo,"
9055,"mareado, mareado, mareado, mareado,"
9056,Autismo Infantil
9057,"enfermo en cama, postrado en cama, postrado en cama, postrado en cama,"
9058,"librea, hígado, bilioso,"
9059,"bronquítico,"
9060,tísico
9061,"en recuperación, convaleciente,"
9062,"alucinante, delirante,"
9063,diabético
9064,"mareado, vertiginoso, mareado, mareado,"
9065,Dispepsia
9066,"desmayo, aturdimiento, aturdimiento, ligero, débil,"
9067,"febril, febril,"
9068,divertido
9069,"gotoso,"
9070,verde
9071,Establecidas
9072,"enfermizo, enfermo, mareado, con náuseas, náuseas,"
9073,PARALISIS
9074,"paralizado, paralítico,"
9075,parapléjico
9076,"desvencijado, raquítico,"
9077,Escrófula
9078,Mocoso
9079,espástico
9080,"tuberculoso, tuberculoso,"
9081,sin curar
9082,apretar permanentemente
9083,"húmedo, húmedo,"
9084,"empapado, empapado,"
9085,húmedo
9086,"pegajoso, humeante, bochornoso,"
9087,enlodado
9088,"lluvioso, lluvioso,"
9089,pegajoso
9090,Lavado
9091,seco
9092,"Al sol, chamuscado, reseco, horneado, adust,"
9093,secado al aire
9094,seco al aire
9095,"seco, árido,"
9096,"completamente seco, completamente seco,"
9097,"seco, desecado,"
9098,secadas;
9099,"sin lluvia,"
9100,semiseco
9101,sediento
9102,"mojado, lactante,"
9103,seco
9104,seco
9105,sobre ruedas
9106,sin ruedas
9107,manual
9108,sano
9109,"Nutritivo, nutritivo, nutritivo, nutritivo, alimentario, alimentario,"
9110,¿SALUDABLE PARA EL CORAZÓN?
9111,"saludable, saludable, bueno para ti,"
9112,"sustancial, cuadrado, sólido, satisfactorio, abundante,"
9113,orgánico
9114,salubre
9115,malsano
9116,"insalubre, insalubre, insalubre,"
9117,"mezquino, insustancial,"
9118,mórbido
9119,"vil, repugnante, mareado, ofensivo, repugnante, nauseabundo, nauseabundo, repugnante,"
9120,"ancho, amplio,"
9121,radiante
