,word_satgood_1gram,freq_satgood_1gram,word_satgood_2gram,freq_satgood_2gram,word_satgood_3gram,freq_satgood_3gram,word_satbad_1gram,freq_satbad_1gram,word_satbad_2gram,freq_satbad_2gram,word_satbad_3gram,freq_satbad_3gram,word_respromoter_1gram,freq_respromoter_1gram,word_respromoter_2gram,freq_respromoter_2gram,word_respromoter_3gram,freq_respromoter_3gram,word_respassive_1gram,freq_respassive_1gram,word_respassive_2gram,freq_respassive_2gram,word_respassive_3gram,freq_respassive_3gram,word_resdetractor_1gram,freq_resdetractor_1gram,word_resdetractor_2gram,freq_resdetractor_2gram,word_resdetractor_3gram,freq_resdetractor_3gram
0,excelente,179,excelente servicio,48,excelente servicio gracias,4,pedido,124,servicio cliente,28,nunca recibí respuesta,4,excelente,26,excelente servicio,6,buena calidad producto,2,servicio,3,tiempos entrega,1,tiempos entrega deberian,1,pedido,15,servicio cliente,7,leen atención favor,2
1,gracias,137,muchas gracias,46,buen servicio cliente,3,respuesta,97,pésimo servicio,15,servicio cliente chat,4,servicio,14,buena calidad,5,tener excelente presentación,1,tiempos,2,entrega deberian,1,entrega deberian ser,1,cliente,15,atención cliente,6,atención favor dictar,2
2,servicio,135,buen servicio,35,bueno excelente servicio,3,servicio,70,atención cliente,12,correo servicio cliente,4,productos,12,excelente atención,4,excelente presentación buena,1,entrega,2,deberian ser,1,deberian ser menores,1,servicio,14,hacer cambio,5,favor dictar capacitaciones,2
3,bueno,113,buena atención,26,atención muchas gracias,3,devolución,64,mal servicio,10,mucha demora respuesta,3,buena,11,excelentes productos,3,presentación buena actitud,1,menos,2,ser menores,1,ser menores demas,1,compra,13,cliente nunca,3,dictar capacitaciones comprensión,2
4,atención,94,excelente atención,24,buen servicio gracias,3,cliente,60,devolución dinero,9,pésimo servicio cliente,3,calidad,9,calidad producto,3,quiero incorporarse porta,1,igual,2,menores demas,1,menores demas lineas,1,hacer,11,tiempos entrega,3,capacitaciones comprensión lectura,2
5,buena,66,bueno servicio,13,buena calidad productos,3,nunca,58,buenas tardes,9,buenas tardes nombre,3,ropa,8,buen servicio,3,cumplidos excelentes productos,1,pagina,2,demas lineas,1,demas lineas toman,1,nunca,10,leen atención,2,líneas atención cliente,2
6,respuesta,52,mil gracias,13,bueno servicio gracias,2,compra,57,buenos días,8,tardes nombre manifiesto,3,producto,8,sido excelente,2,rápido entrega atención,1,gracias,2,lineas toman,1,lineas toman menos,1,atención,9,atención favor,2,primera vez compra,2
7,muchas,49,servicio cliente,12,muchas gracias atención,2,ustedes,54,muchas gracias,8,nombre manifiesto haber,3,gracias,7,excelente calidad,2,entrega atención cliente,1,cliente,2,toman menos,1,toman menos tiempo,1,respuesta,9,favor dictar,2,atender reclamaciones tiempo,1
8,buen,39,servicio gracias,9,gracias atención ayuda,2,correo,53,mucha demora,7,manifiesto haber recibido,3,atención,6,envíos gratis,2,atención cliente eficiente,1,mirando,2,menos tiempo,1,menos tiempo menos,1,mejorar,9,dictar capacitaciones,2,reclamaciones tiempo evitar,1
9,devolución,37,buena atencion,9,excelente servicio rápido,2,si,52,dar respuesta,7,haber recibido pedido,3,mejor,6,serios cumplidos,2,tiempos contestar llamada,1,hace,2,tiempo menos,1,tiempo menos mala,1,devolución,8,capacitaciones comprensión,2,tiempo evitar recibir,1
