,word,score,stem
0,parturiente,0.25,parturient
1,comparativo,-0.25,compar
2,sorbefaciente,0.375,sorbefacient
3,asimilado,-0.75,asimil
4,quimiorresistente,-0.25,quimiorresistent
5,absorbible,0.5,absorb
6,adsorbible,0.25,adsorb
7,abstinente,-0.625,abstinent
8,abstenido,-0.625,absten
9,espartana,0.25,espartan
10,austera,0.25,auster
11,ascética,0.25,ascet
12,crapuloso,-0.5,crapul
13,cerdo,-0.125,cerd
14,cerdito,-0.125,cerdit
15,ideacional,0.375,ideacional
16,ideológico,0.0,ideolog
17,concreto,0.375,concret
18,copioso,0.125,copios
19,revoltoso,-0.25,revolt
20,profuso,-0.25,profus
21,pletórica,-0.375,pletor
22,sobreabundante,-0.375,sobreabund
23,superabundante,-0.375,superabund
24,escasa,-0.25,escas
25,maltratados,-0.625,maltrat
26,abusados,-0.625,abus
27,bancable,0.25,bancabl
28,conseguible,0.625,consegu
29,llegable,0.625,llegabl
30,ungetatable,-0.625,ungetat
31,desobligar,0.0,desoblig
32,desobligado,-0.125,desoblig
33,cercano,0.625,cercan
34,hi,0.375,hi
35,acostumbrado,0.125,acostumbr
36,solía,-0.375,sol
37,desacostumbrado,-0.75,desacostumbr
38,alcalino,-0.25,alcalin
39,anfotérico,0.5,anfoter
40,anfiprótico,0.5,anfiprot
41,aceptado,0.5,acept
42,asuntivo,0.25,asunt
43,declarable,0.375,declar
44,putativo,0.125,putat
45,voraz,-0.25,voraz
46,rapaz,-0.25,rapaz
47,gimnasia,0.375,gimnasi
48,atletismo,0.375,atlet
49,acrobacia,0.375,acrobaci
50,hiperactivo,0.25,hiperact
51,hipoactivo,-0.625,hipoact
52,sedentaria,0.125,sedentari
53,yendo,-0.5,yend
54,progresivo,-0.25,progres
55,callejón,0.0,callejon
56,supino,-0.75,supin
57,contrarrestado,-0.5,contrarrest
58,quiescente,-0.5,quiescent
59,activo,0.375,activ
60,latente,-0.625,latent
61,crónica,-0.375,cronic
62,degenerativo,-0.375,degener
