,products
0,antibacterial
1,antifaz
2,aretas
3,babero
4,babitas
5,balaca
6,baleta
7,baño
8,bermuda
9,bikini
10,billetera
11,body
12,bolsita
13,bolso
14,bombacho
15,botas
16,boxer
17,bufanda
18,buzo
19,cachucha
20,camisa
21,camiseta
22,capa
23,cargadera
24,cartuchera
25,caña
26,chaleco
27,chaqueta
28,cholitos
29,cobija
30,collar
31,conjunto
32,corbata
33,correa
34,crema
35,cuaderno
36,denim
37,diadema
38,enterizo
39,falda
40,fular
41,gaban
42,gafas
43,gorro
44,hebillas
45,jabon
46,juguete
47,jumper
48,kimono
49,leggings
50,linos
51,locion
52,lonchera
53,media
54,medias
55,minifalda
56,morral
57,orejeras
58,overall
59,pantalon
60,pantaloneta
61,panty
62,pañalera
63,pañoleta
64,piecito
65,pijama
66,prendedor
67,puño
68,reloj
69,sandalia
70,set
71,short
72,sleeping
73,sombrero
74,stickers
75,sudadera
76,sweater
77,tablero
78,tankini
79,tapete
80,tendido
81,tenis
82,termo
83,toalla
84,tobillera
85,top
86,tutu
87,vestido
88,visera
89,zapato
