word;score
chevere;5
super;5
bacano;5
buen trip;5
placer;5
muy bueno;5
cheveruco;5
bacan;5
excelente;5
excelente;5
belleza;5
chéverisimo;5
guayaco;5
chevere;5
bacan;5
excelente;5
excelente;5
chevere;5
chevere;5
pro;5
genial;5
excelente;5
profesional;5
bien;5
chevere;5
maximo;5
genial;5
bueno;5
genial;5
increible;5
excelente;5
pepisima;5
chevere;5
excelente;5
bueno;5
excelente;5
integra;5
excelente;5
nivel;5
mis respetos;5
excelente;5
belleza;5
bueno;5
increible;5
excelente;5
maximo;5
chevere;5
súper bueno;5
epico;5
maximo;5
epico;5
excelente;5
maximo;5
maximo;5
chevere;5
chevere;5
bacan;5
seria;5
chevere;5
chevere;5
excelente;5
excelente;5
buenísimo;5
espectacular;5
excelente;5
perfecto;5
belleza;5
pepa;5
cool;5
chevere;5
chevere;5
bueno;5
bacansísima;5
excelente;5
increíble;5
belleza;5
chevere;5
buen trip;5
chepo;5
pepa;5
bacan;5
del hp;5
super;5
barcelona;5
brother;5
excelente;5
cheverisima;5
increíble;5
increible;5
nivel;5
grande;5
apropiada;5
chevere;5
chevere;5
excelente;5
maximo;5
bueno;5
buena onda;5
buenísimo;5
excelente;5
cool;5
grande;5
chevere;5
chevere;5
excelentisima;5
chevere;5
chevere;5
increíble;5
excelente;5
pepa;5
increible;5
panisima;5
bacan;5
mejor;5
super;5
posi;5
espectacular;5
belleza;5
nivel;5
chevere;5
excelente;5
excelente;5
increible;5
maximo;5
posi;5
cheverisimo;5
chevere;5
muy buena;5
excelente;5
excelente;5
arrecho;5
chevere;5
chevere;5
genial;5
cheverísimo;5
increíble;5
chevere;5
posi;5
arrecho;5
excelente;5
hermoso;5
hermosa;5
súper buena;5
pinta;5
bacan;5
increíble;5
excelente;5
excelente;5
excelente;5
excelente;5
bacan;5
excelente;5
excelente;5
chevere;5
a todo dar;5
maximo;5
maximo;5
belleza;5
bueno;5
increible;5
excelente;5
maximo;5
maximo;5
super;5
épico;5
maximo;5
garantizado;5
excelente;5
maximo;5
maximo;5
chevere;5
chevere;5
bacan;5
seria;5
genial;5
nivel;5
arrecho;5
excelente;5
buenísimo;5
espectacular;5
excelente;5
perfecto;5
belleza;5
pepa;5
cool;5
chevere;5
chevere;5
buena;5
bacansísima;5
excelente;5
increíble;5
belleza;5
chevere;5
posi;5
excelente;5
excelente;5
hermoso;5
súper buena;5
pinta;5
bacan;5
increíble;5
excelente;5
excelente;5
excelente;5
nivel;5
bacan;5
excelente;5
excelente;5
chevere;5
a todo dar;5
maximo;5
bacan;5
belleza;5
bueno;5
belleza;5
excelente;5
nivel;5
maximo;5
super bueno;5
épico;5
belleza;5
garantizado;5
belleza;5
maximo;5
bacana;5
chevere;5
chevere;5
muy bacan;5
posi;5
excelente;5
excelente;5
hermoso;5
súper buena;5
pinta;5
bacan;5
increíble;5
excelente;5
excelente;5
excelente;5
excelente;5
belleza;5
excelente;5
excelente;5
excelente;5
hermoso;5
súper buena;5
pinta;5
bacan;5
excelente;5
excelente;5
excelente;5
hermoso;5
súper buena;5
pinta;5
bacan;5
increíble;5
excelente;5
excelente;5
excelente;5
excelente;5
bacan;5
excelente;5
excelente;5
chevere;5
a todo dar;5
maximo;5
maximo;5
belleza;5
bueno;5
increible;5
excelente;5
maximo;5
chevere;5
belleza;5
bueno;5
increible;5
excelente;5
maximo;5
maximo;5
belleza;5
épico;5
maximo;5
garantizado;5
excelente;5
maximo;5
maximo;5
maximo;5
chevere;5
belleza;5
bueno;5
increible;5
excelente;5
maximo;5
maximo;5
super;5
épico;5
maximo;5
garantizado;5
excelente;5
maximo;5
maximo;5
chevere;5
chevere;5
muy bacan;5
maximo;5
power;5
belleza;5
bueno;5
increible;5
power;5
maximo;5
maximo;5
súper buena;5
épico;5
maximo;5
garantizado;5
excelente;5
maximo;5
bacano;5
chevere;5
chevere;5
maximo;5
genial;5
excelente;5
bueno;5
maximo;5
excelente;5
maximo;5
maximo;5
power;5
épico;5
increible;5
garantizado;5
excelente;5
epico;5
maximo;5
chevere;5
chevere;5
epico;5
excelente;5
belleza;5
bueno;5
maximo;5
excelente;5
power;5
maximo;5
súper buena;5
épico;5
bacansisimo;5
super chevere;5
excelente;5
pepisima;5
maximo;5
chevere;5
chevere;5
super;5
bacano;5
buen trip;5
un placer;5
muy bueno;5
cheveruco;5
bacan;5
excelente;5
excelente;5
posi;5
chevere;5
chevere;5
chevere;5
bacan;5
buenisimo;5
pepa;5
del hijueputa;5
maximo;5
chevere;5
belleza;5
bueno;5
increible;5
excelente;5
espectacular;5
maximo;5
súper buena;5
épico;5
maximo;5
garantizado;5
del hijueputa;5
posi;4
buena;4
chevere;4
nota;4
gusto;4
bueno;4
templado;4
suave;4
felicitar;4
buena;4
pepa;4
bueno;4
verídico;4
bueno;4
posi;4
genial;4
buena;4
bien;4
buena;4
suave;4
buena;4
muy buena;4
buen;4
bacan;4
pasable;4
interesante;4
bacan;4
chevere;4
bueno;4
buen trip;4
buena;4
bueno;4
ta chato;4
muy bueno;4
buen trip;4
buen trip;4
interesante;4
la mejor;4
posi;4
bacan;4
bueno;4
lujo;4
buen trip;4
súper bien;4
bueno;4
bacan;4
chevere;4
muy bueno;4
súper bien;4
super;4
bueno;4
decente;4
bacan;4
mas o menos;4
bkn;4
linda gente;4
medio;4
maso;4
bacan;4
decente;4
increíble;4
muy bien;4
espectacular;4
muy bueno;4
bueno;4
dato;4
posi;4
bien;4
esta bien;4
muy bueno;4
bueno;4
maso;4
bien posi;4
suave;4
chévere;4
la joda;4
pana;4
buen trip;4
linda persona;4
gracias;4
chevere;4
dato;4
buen trip;4
bien;4
ese man;4
positivo;4
suave;4
genial;4
chevere;4
cool;4
bueno;4
chevere;4
bacan;4
chevere;4
bueno;4
bueno;4
regular;4
bacán;4
bueno;4
muy buena;4
dato;4
bien;4
cool;4
bueno;4
buena;4
bueno;4
tranqui;4
bueno;4
bueno;4
posi;4
cool;4
dato;4
bien;4
bonito;4
dato;4
chato;4
cool;4
posi;4
muy buena;4
bueno;4
muy buena;4
buena;4
buen trip;4
ta bien;4
buena;4
bacan;4
buena;4
buena;4
posi;4
normal;4
bueno;4
bacan;4
fresco;4
cool;4
bueno;4
chevere;4
mas o menos;4
buen trip;4
chevere;4
bueno;4
chevere;4
buen trip;4
propio;4
chevere;4
buena;4
muy buena;4
chevere;4
muy bueno;4
aceptable;4
bueno;4
buena;4
buena;4
buena;4
esta bien;4
chévere;4
suave;4
bueno;4
buena;4
pepa;4
bueno;4
verídico;4
bueno;4
posi;4
genial;4
buena;4
bien;4
buena;4
suave;4
buena;4
muy buena;4
buen;4
bacan;4
pasable;4
regular 3/4;4
bacan;4
chevere;4
apoyo;4
buen trip;4
buena;4
bueno;4
posi;4
muy buenapor...;4
buen trip;4
buen trip;4
interesante;4
la mejor;4
posi;4
bacan;4
bueno;4
lujo;4
buen trip;4
súper bien;4
buena;4
bacan;4
chevere;4
muy buena;4
súper bien;4
super;4
buena;4
buena;4
bacan;4
muy buena;4
bueno;4
muy buena;4
buena;4
agradable;4
ta bien;4
buena;4
bacan;4
bien;4
bueno;4
bueo;4
buena;4
arrecho;4
bacan;4
fresco;4
sonrio;4
bueno;4
chevere;4
chevere;4
buen trip;4
chevere;4
bueno;4
chevere;4
buen trip;4
propio;4
chevere;4
buena;4
muy buena;4
chevere;4
muy bueno;4
aceptable;4
bueno;4
buena;4
buena;4
buena;4
esta bien;4
chévere;4
suave;4
bueno;4
buena;4
pepa;4
bueno;4
verídico;4
bueno;4
posi;4
genial;4
buena;4
bien;4
buena;4
suave;4
buena;4
muy buena;4
buen;4
chevere;4
pasable;4
regular 3/4;4
bacan;4
chevere;4
apoyo;4
buen trip;4
buena;4
bueno;4
posi;4
bien;4
buen trip;4
buen trip;4
interesante;4
pepa;4
bueno;4
verídico;4
bueno;4
posi;4
genial;4
buena;4
bien;4
buena;4
suave;4
buena;4
muy buena;4
buen;4
wue bacan;4
pasable;4
regular 3/4;4
bacan;4
chevere;4
apoyo;4
buen trip;4
buena;4
bueno;4
posi;4
buena;4
chevere;4
buen trip;4
mucho gusto;4
bueno;4
templado;4
suave;4
bueno;4
buena;4
pepa;4
bueno;4
verídico;4
bueno;4
posi;4
genial;4
buena;4
bien;4
buena;4
suave;4
buena;4
muy buena;4
bueno;4
