post_id,Me gusta,Me encanta,Me enfada,Me importa,Me asombra,Me divierte,Me entristece
3586210098076687,58.0,2.0,,,,,
3586197114744652,11.0,,,,,,
3586162018081495,33.0,3.0,,1.0,,,
3581733208524376,29.0,1.0,,,,,
3576231032407927,11.0,,,,,,
3579674358730261,9.0,1.0,,,,,
3578842728813424,16.0,,,,,,
3546330292064668,47.0,2.0,,,,,
3540009822696715,75.0,2.0,,,,,
3543024865728544,33.0,3.0,,,,,
3539964546034576,41.0,7.0,,,,,
3541185802579117,45.0,4.0,,1.0,,,
3539874969376867,69.0,4.0,,,,,
3533452146685816,54.0,1.0,,,,,1.0
3531041976926833,57.0,5.0,,,,,
3530991703598527,67.0,4.0,,,,,
3528247873872910,49.0,7.0,,,,,
3527579430606421,55.0,4.0,,,,,
3525358234161874,35.0,1.0,,,,,
3525349870829377,74.0,11.0,,,,,
3524434100920954,61.0,8.0,,,,,
3522218831142481,54.0,7.0,,,,,
3521924247838606,50.0,5.0,,2.0,,,
3508969565800741,12.0,,,,,,
3508943089136722,18.0,,,,,,
3508923692471995,22.0,1.0,,,,,
3508871649143866,15.0,,,,,,
3508813355816362,32.0,1.0,,,,,
3508759895821708,17.0,3.0,,,,,
3493639167333781,24.0,,,,,,
3493629850668046,31.0,1.0,,,,,
3493620830668948,31.0,,,,,,
3493595520671479,18.0,1.0,,,,,
3493583680672663,36.0,3.0,,,,,
3493560530674978,21.0,,,,,,
3492945527403145,51.0,2.0,,,,,
3490655480965483,57.0,8.0,,,,,
3489386377759060,31.0,5.0,,,,,
3489370844427280,10.0,,,,,,
3487152741315757,,,,,,,
3486275658070132,,,,,,,
3468433096521055,20.0,,,,,,
3468383146526050,19.0,,,,,,
3479137658783932,10.0,,,,,,
3478636652167366,,,,,,,
3468253099872388,10.0,,,,,,
3468232483207783,30.0,3.0,,,,,
3468220593208972,11.0,,,,,,
3468048556559509,14.0,,,,,,
3467990536565311,16.0,1.0,,,,,
3467977829899915,26.0,1.0,,,,,
3467943726569992,23.0,,,,,,
3468351519862546,28.0,,,,,,
3467929123238119,,,,,,,
3465661390131559,16.0,,,,,,
3465598116804553,6.0,,,,,,
3451416298222735,19.0,2.0,,,,,
3451385031559195,15.0,1.0,,,,,
3447906021907096,,,,,,,
3444427345588297,24.0,1.0,,,,,
3444646862233012,22.0,3.0,,,,,
3444193742278324,,,,,,,
3442086355822396,9.0,,,,,,
3442346645796367,10.0,,,,,,
3442035359160829,73.0,3.0,,,,,
3432630963434602,,,,,,,
3430706433627055,,,,,,,
3430483870315978,,,,,,,
3426539374043761,14.0,2.0,,,,,
3427512293946469,,,,,,,
3426618657369166,38.0,2.0,,,,,
3425062640858101,17.0,2.0,,,,,
3425057344191964,15.0,,,,,,
3424556940908671,11.0,,,,,,
3423791087651923,,,,,,,
3420835817947450,24.0,1.0,,,,,
3421805911183774,30.0,1.0,,,,,
3420776404620058,24.0,,,,,,
3418235848207447,,,,,,,
3415629295134769,24.0,3.0,,,,,
3415590025138696,31.0,2.0,,,,,
3412635615434137,,,,,,,
3409322559098776,54.0,7.0,,,,,
3409539329077099,,,,,,,
3406946862669679,,,,,,,
3406201632744202,,,,,,,
3403120373052328,50.0,1.0,,1.0,,,
3403115213052844,,,,,,,
3400500783314287,40.0,2.0,,,,,
3400490623315303,31.0,2.0,,,,,
3400220916675607,,,,,,,
3398530396844659,,,,,,,
3397702033594162,32.0,1.0,,,,,
3397678580263174,,,,,,,
3394689350562097,50.0,1.0,,,,,
3394315110599521,58.0,5.0,,,,,
3388869797810719,16.0,,,,,,
3391799167517782,,,,,,,
3388751937822505,14.0,,,,,,
3388658077831891,35.0,2.0,,,,,
3388640567833642,16.0,3.0,,,,,
3388521471178885,,,,,,,
3386467694717596,22.0,,,,,,
3386407321390300,24.0,1.0,,,,,
3383017238395975,42.0,3.0,,,,,
3383084125055953,45.0,4.0,,,,,
3375102222520810,86.0,9.0,,,,,
3375096679188031,62.0,3.0,,,,,
3375016769196022,54.0,3.0,,,,,
3374982509199448,14.0,1.0,,,,,
3375005039197195,34.0,4.0,,1.0,,,
3374975259200173,32.0,1.0,,,,,
3374249542606078,30.0,3.0,,,,,
3374939382537094,12.0,1.0,,,,,
3374229339274765,25.0,,,,,,
3368301113200921,34.0,,,,,,
3368291659868533,44.0,4.0,,,,,
3368276663203366,25.0,,,,,,
3368296099868089,37.0,4.0,,1.0,,,
3368270706537295,17.0,1.0,,,,,
3368253059872393,49.0,1.0,,,,,
3340715679292798,52.0,2.0,,,,,
3347683768595989,70.0,7.0,,,,,
3347677378596628,70.0,5.0,,,,,
3347671801930519,59.0,5.0,,,,,
3347666868597679,96.0,10.0,,,,,
3347664205264612,53.0,6.0,,,,,
3347654405265592,31.0,2.0,,1.0,,,
3343582845672748,37.0,4.0,,,,,
3343567602340939,37.0,3.0,,,,,
3343560529008313,57.0,2.0,,,,,
3340701245960908,23.0,1.0,,,,,
3340697852627914,47.0,1.0,,1.0,,,
3340692765961756,22.0,,,,,,
3338366119527754,20.0,3.0,,,,,
3338355252862174,28.0,,,,,,
3336318703065829,34.0,1.0,,,,,
3336297696401263,51.0,7.0,,,,,
3335700936460939,31.0,3.0,,,,,
3333304033367296,27.0,1.0,,,,,
3327041213993578,25.0,4.0,,1.0,,,
3333273453370354,21.0,,,,,,
3333297140034652,19.0,,,,,,
3332996383398061,,,,,,,
3326993330665033,28.0,1.0,,,,,
3326892047341828,11.0,1.0,,,,,
3326881014009598,12.0,1.0,,,,,
3326873730676993,34.0,4.0,,,,,
3326855797345453,29.0,1.0,,,,,
3327613723936327,,,,,,,
3326844447346588,26.0,4.0,,,,,
3324672814230418,17.0,,,,,,
3321492327881800,13.0,,,,,,
3324668754230824,24.0,1.0,,,,,
3321966171167749,25.0,1.0,,1.0,,,
3321504864547213,33.0,,,,,,
3321957797835253,25.0,,,,,,
3321489087882124,41.0,3.0,,,,,
3321478531216513,24.0,1.0,,,,,
3319541564743543,31.0,2.0,,,,,
3313461368684896,21.0,,,,,,
3313347708696262,21.0,,,,,,
3311066888924344,116.0,22.0,,,,,
3309254342438932,102.0,15.0,,,,,
3311035908927442,32.0,1.0,,,,,
3308929935804706,22.0,3.0,,,,,
3307485645949135,112.0,10.0,,,,,
3304843932879973,8.0,,,,,,
3304714886226211,11.0,,,,,,
3303026163061750,7.0,1.0,,,,,
3303018369729196,7.0,,,,,,
3303013909729642,4.0,,,,,,
3300740233290343,8.0,,,,,,
3300762696621430,,,,,,,
3300760426621657,1.0,,,,,,
3300737043290662,4.0,,,,,,
3299692253395141,9.0,,,,,,
3299684566729243,5.0,,,,,,
3299670610063972,9.0,2.0,,,,,
3293823940648639,,,,,,,
3289134047784295,18.0,1.0,,,,,
3290923594272007,49.0,8.0,,,,,
3286377648059935,28.0,,,,,,
3286373854726981,39.0,2.0,,,,,
3286371684727198,27.0,,,,,,
3286367664727600,82.0,12.0,,1.0,,,
3276462169051483,38.0,3.0,,1.0,,,
3276457549051945,42.0,2.0,,,,,
3276426409055059,29.0,2.0,,,,,
3276423359055364,45.0,3.0,,1.0,,,
3276417005722666,32.0,1.0,,,,,
3276413065723060,23.0,2.0,,,,,
3276408322390201,39.0,,,1.0,,,
3276168152414218,56.0,6.0,,,,,
3276081855756181,72.0,7.0,,,,,
3276077379089962,96.0,17.0,,1.0,,,
