post_id,text,post_text,shared_text,time,image,video,video_thumbnail,video_id,likes,comments,shares,post_url,link,user_id
3623802620984101,,,,2020-10-07 15:15:00,,https://video.feoh1-1.fna.fbcdn.net/v/t42.9040-2/120927147_1462342357309841_2497300171768042775_n.mp4?_nc_cat=109&ccb=2&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=PfbTwySWZ74AX-4Bh7Q&_nc_ht=video.feoh1-1.fna&oh=6ec3fb253ece3942d49dbfa797c1d44e&oe=5F9DF4DC,https://scontent.feoh1-1.fna.fbcdn.net/v/t15.5256-10/cp0/e15/q65/s320x320/120389132_378420343316740_3360656334232371492_n.jpg?_nc_cat=105&ccb=2&_nc_sid=ccf8b3&_nc_ohc=QzE_4mwfbAYAX9hqd0R&_nc_ht=scontent.feoh1-1.fna&oh=df01a97ed83b5648368382cbd1df0a9c&oe=5FC41C5E,378418406650267.0,15,1,0,https://facebook.com/watch?v=378418406650267,,121398184557913
3623847617646268,"🇨🇴 💕 En familia crecemos, aprendemos y creemos con convicción que un País con sueños y metas alcanzadas es un País feliz.
.
.
#Polito #pormiempresa #politoescolombia #hechoencolombia🇨🇴","🇨🇴 💕 En familia crecemos, aprendemos y creemos con convicción que un País con sueños y metas alcanzadas es un País feliz.
.
.
#Polito #pormiempresa #politoescolombia #hechoencolombia🇨🇴",,2020-10-07 15:04:54,https://scontent.feoh1-1.fna.fbcdn.net/v/t1.0-9/121075538_3623847427646287_6306178675198750368_o.png?_nc_cat=109&ccb=2&_nc_sid=8024bb&_nc_ohc=sX3YtZztoXgAX_CPoff&_nc_ht=scontent.feoh1-1.fna&oh=850026ff86911d1e3f0a09652a8bba53&oe=5FC4DF29,,,,28,0,0,https://facebook.com/story.php?story_fbid=3623847617646268&id=121398184557913,,121398184557913
3623585727672457,,,,2020-10-07 13:10:05,,https://video.feoh1-1.fna.fbcdn.net/v/t42.9040-2/120926128_351935422622365_2103395423658409544_n.mp4?_nc_cat=107&ccb=2&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=-ljpuow5miEAX_h_8k0&_nc_ht=video.feoh1-1.fna&oh=fe0cd554e527ee28fbb2c6b5bb568b04&oe=5F9DF96C,https://scontent.feoh1-1.fna.fbcdn.net/v/t15.5256-10/cp0/e15/q65/s320x320/120389132_392241641792063_6010175131666595108_n.jpg?_nc_cat=102&ccb=2&_nc_sid=ccf8b3&_nc_ohc=3xpk9tnItZAAX_8G3oO&_nc_ht=scontent.feoh1-1.fna&oh=d06877d7dc17d9d2fe839d317ad276c2&oe=5FC27A10,392240498458844.0,32,0,0,https://facebook.com/watch?v=392240498458844,,121398184557913
3623152784382418,"🇨🇴💕🙌🏼 Cuidar mi empresa es cuidar de mi familia, de mi futuro y de mis sueños.
.
#PORMIEMPRESA #Polito #politoescolombia","🇨🇴💕🙌🏼 Cuidar mi empresa es cuidar de mi familia, de mi futuro y de mis sueños.
.
#PORMIEMPRESA #Polito #politoescolombia",,2020-10-07 10:30:54,https://scontent.feoh1-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/121030253_3623152724382424_4299946611401338250_o.jpg?_nc_cat=101&ccb=2&_nc_sid=8024bb&_nc_ohc=O7z_Wz9e4MwAX-s7qx5&_nc_ht=scontent.feoh1-1.fna&tp=14&oh=a02bdb6b32c1c295b81f95d043bca6a4&oe=5FC3ABBC,,,,32,0,0,https://facebook.com/story.php?story_fbid=3623152784382418&id=121398184557913,,121398184557913
3622994081064955,"Somos más que una empresa, somos una familia que camina unida para cada día llegar hasta tu hogar.
🙌🏼Hoy nos unimos para alzar nuestra voz y seguir apoyando #PORMIEMPRESA, este lugar que tanto nos ha permitido.
🇨🇴💕 Por mi empresa, por tu empresa, por mi País, por familia.
.
.
.
#politokids #politoescolombia #PORMIEMPRESA #pormiempresa❤️ #hechoencolombia🇨🇴","Somos más que una empresa, somos una familia que camina unida para cada día llegar hasta tu hogar.
🙌🏼Hoy nos unimos para alzar nuestra voz y seguir apoyando #PORMIEMPRESA, este lugar que tanto nos ha permitido.
🇨🇴💕 Por mi empresa, por tu empresa, por mi País, por familia.
.
.
.
#politokids #politoescolombia #PORMIEMPRESA #pormiempresa❤️ #hechoencolombia🇨🇴",,2020-10-07 09:30:54,https://scontent.feoh1-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/121153523_3622994031064960_761941963423450499_o.jpg?_nc_cat=111&ccb=2&_nc_sid=8024bb&_nc_ohc=_ck7jPh5r5IAX_i_Cu6&_nc_ht=scontent.feoh1-1.fna&tp=14&oh=98a1a73320563f1635e1c7fa38dbc982&oe=5FC20B43,,,,136,0,0,https://facebook.com/story.php?story_fbid=3622994081064955&id=121398184557913,,121398184557913
3622971794400517,"Durante 40 años hemos construido empresa, familia y país 🇨🇴 💕.
Hoy nos unimos #PORMIEMPRESA para seguir apoyando nuestro lugar de trabajo, la industria local y el crecimiento de todos los hogares .
.
.
.
#politoescolombia #politokids #hechoencolombia🇨🇴 #PORMIEMPRESA #pormiempresa❤️","Durante 40 años hemos construido empresa, familia y país 🇨🇴 💕.
Hoy nos unimos #PORMIEMPRESA para seguir apoyando nuestro lugar de trabajo, la industria local y el crecimiento de todos los hogares .
.
.
.
#politoescolombia #politokids #hechoencolombia🇨🇴 #PORMIEMPRESA #pormiempresa❤️",,2020-10-07 08:59:25,https://scontent.feoh1-1.fna.fbcdn.net/v/t1.0-9/121064200_3622971721067191_354201873058463891_o.png?_nc_cat=107&ccb=2&_nc_sid=8024bb&_nc_ohc=Nl7eqLrm7y8AX_bppA-&_nc_ht=scontent.feoh1-1.fna&oh=2bb854d23ed672ce173b7ddd310a07b6&oe=5FC1F17B,,,,29,2,0,https://facebook.com/story.php?story_fbid=3622971794400517&id=121398184557913,,121398184557913
3617758988255131,"💞✨ Ideales para combinar con vestidos, shorts, faldas o jeans ¡tú decides!.
Encuentra estos zapatos en tallas desde 19 a 27.
.
Disponibles en www.polito.com.co, tiendas físicas y en la línea 3053473055.
.
.
#Politokids #ropainfantil #politoesdiversiónsinlimites #calzadoparaniña #zapatosparaniña #hechoencolombia #politoescolombia #comodidadydiversion #vistetedecolombia #ropainfantil #calzadoinfantil","💞✨ Ideales para combinar con vestidos, shorts, faldas o jeans ¡tú decides!.
Encuentra estos zapatos en tallas desde 19 a 27.
.
Disponibles en www.polito.com.co, tiendas físicas y en la línea 3053473055.
.
.
#Politokids #ropainfantil #politoesdiversiónsinlimites #calzadoparaniña #zapatosparaniña #hechoencolombia #politoescolombia #comodidadydiversion #vistetedecolombia #ropainfantil #calzadoinfantil",,2020-10-06 20:00:56,https://scontent.feoh1-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/120926419_3617758958255134_3321094324901220155_o.jpg?_nc_cat=109&ccb=2&_nc_sid=8024bb&_nc_ohc=Qx92gXmgmh0AX-7nitE&_nc_ht=scontent.feoh1-1.fna&tp=14&oh=69d4e390d43b626e13cebef99f3e44df&oe=5FC23D4A,,,,34,0,0,https://facebook.com/story.php?story_fbid=3617758988255131&id=121398184557913,http://www.polito.com.co/,121398184557913
3617752481589115,"💕 🔆 Los amigos son sinónimo de sonrisas y momentos increíbles.
.
Encuentra ahora la nueva colección disponible en tiendas físicas, tienda online 👆puedes encontrar el link directo en nuestro perfil y en la línea POLIⓣⓞCHAT✨ 3053473055, ¡te esperamos!.
.
.
#Politokids #ropainfantil #politoesdiversiónsinlimites #hechoencolombia #politoescolombia #comodidadydiversion #vistetedecolombia #ropainfantil","💕 🔆 Los amigos son sinónimo de sonrisas y momentos increíbles.
.
Encuentra ahora la nueva colección disponible en tiendas físicas, tienda online 👆puedes encontrar el link directo en nuestro perfil y en la línea POLIⓣⓞCHAT✨ 3053473055, ¡te esperamos!.
.
.
#Politokids #ropainfantil #politoesdiversiónsinlimites #hechoencolombia #politoescolombia #comodidadydiversion #vistetedecolombia #ropainfantil",,2020-10-06 13:30:56,https://scontent.feoh1-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/120948063_3617752431589120_516319019072635961_o.jpg?_nc_cat=104&ccb=2&_nc_sid=8024bb&_nc_ohc=hXkRgaHylYkAX96gARM&_nc_ht=scontent.feoh1-1.fna&tp=14&oh=3cd8a8ed3cef4586513bfbd5b38abc37&oe=5FC24F59,,,,39,0,0,https://facebook.com/story.php?story_fbid=3617752481589115&id=121398184557913,,121398184557913
3617746144923082,"✨Que la experiencia a la hora de correr, jugar o bailar sea siempre la más confortable.
.
🍃👉Disponibles en tallas 19 a 27.
.
Encuéntralos en www.polito.com.co, tiendas físicas y en la línea 3053473055.
.
.
.
#Politokids #ropainfantil #politoesdiversiónsinlimites #calzadoparaniño #zapatosparaniño #hechoencolombia #politoescolombia #comodidadydiversion #vistetedecolombia #ropainfantil #calzadoinfantil","✨Que la experiencia a la hora de correr, jugar o bailar sea siempre la más confortable.
.
🍃👉Disponibles en tallas 19 a 27.
.
Encuéntralos en www.polito.com.co, tiendas físicas y en la línea 3053473055.
.
.
.
#Politokids #ropainfantil #politoesdiversiónsinlimites #calzadoparaniño #zapatosparaniño #hechoencolombia #politoescolombia #comodidadydiversion #vistetedecolombia #ropainfantil #calzadoinfantil",,2020-10-06 08:00:56,https://scontent.feoh1-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/120908263_3617746101589753_6875095637674126950_o.jpg?_nc_cat=106&ccb=2&_nc_sid=8024bb&_nc_ohc=Zq3ttmOJRO8AX_BLMZe&_nc_ht=scontent.feoh1-1.fna&tp=14&oh=bce69cc347d2c40b0b7e0b6894367e3c&oe=5FC51D05,,,,14,0,0,https://facebook.com/story.php?story_fbid=3617746144923082&id=121398184557913,http://www.polito.com.co/,121398184557913
3617724924925204,"Unos tenis con mucho estilo, ideales para combinar con tu look favorito👟🍃.
👉🏽Disponibles en tallas 28 a 35.
.
.
#Politokids #ropainfantil #politoesdiversiónsinlimites #hechoencolombia #politoescolombia #comodidadydiversion #vistetedecolombia #ropainfantil","Unos tenis con mucho estilo, ideales para combinar con tu look favorito👟🍃.
👉🏽Disponibles en tallas 28 a 35.
.
.
#Politokids #ropainfantil #politoesdiversiónsinlimites #hechoencolombia #politoescolombia #comodidadydiversion #vistetedecolombia #ropainfantil",,2020-10-05 18:00:56,https://scontent.feoh1-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/120923170_3617724888258541_6029331232302842990_o.jpg?_nc_cat=109&ccb=2&_nc_sid=8024bb&_nc_ohc=Vgv2ZSJCxiMAX8bPIHC&_nc_ht=scontent.feoh1-1.fna&tp=14&oh=9195fc20ac765a8b595bff9f289fe38c&oe=5FC2112C,,,,27,2,0,https://facebook.com/story.php?story_fbid=3617724924925204&id=121398184557913,,121398184557913
