post_id,Me gusta,Me encanta,Me enfada,Me importa,Me asombra,Me divierte,Me entristece
3326919080696815,25,1,,,,,
3326912804030776,15,1,,,,,
3326892154032841,65,8,,,,1,
3326841590704564,95,8,,,,,
3326871674034889,194,25,,1,,,
3326851070703616,129,31,,2,,,
3326374340751289,106,5,,1,,,
3325788954143161,93,5,,,,,
3325765374145519,128,10,,1,,,
3320622034659853,43,2,,,,,
3320612897994100,150,18,,,,,
3317235684998488,89,2,,,,,
3320580701330653,63,3,,,,,
3320445551344168,110,11,,,,,
3320435371345186,100,10,,,,,
3320415008013889,64,3,,,,,
3318540494868007,25,3,,,,,
3317224144999642,37,2,,,,1,
3317232371665486,29,2,,,,,
3316993278356062,67,6,,,,,
3317218968333493,349,55,,2,,,
3316983938356996,114,7,,,,2,
3313178145404242,105,2,,,,,
3314586395263417,16,2,,,1,,
3311588605563196,33,,,,,,
3311583975563659,162,4,,,,,
3311319995590057,132,4,,,,,
3311298812258842,259,29,,,,,
3311197985602258,175,9,,,,,
3304811979574192,10,1,,,,,
3159195854135806,71,2,,,,1,
3304808962907827,243,54,,2,,,
3304750662913657,170,11,,,,,
3282556891799701,20,1,,,,,
3304730319582358,103,7,,,,1,
3295961593792564,38,4,,,,,
3296236090431781,97,8,,,,,
3295985963790127,126,23,,2,,,
3295964250458965,20,,,,,,
3295975437124513,82,6,,,,,
3296044947117562,114,7,,,,,
3295958940459496,124,16,,,1,,
3282549128467144,1000,90,,,6,,
3296224897099567,56,9,,,,,
3297962770259113,50,6,,,,,
3295936970461693,148,19,,,,,
3295933760462014,175,25,,,,,
3295282957193761,211,20,,,,,
3294930627228994,224,34,,,,1,
3292251747496882,47,1,,,,,
3282545275134196,121,6,,,,,
3292248264163897,208,17,,,,,
3286030354785688,16,1,,,,,
3286020418120015,126,27,,,,,
3286013921453998,303,55,,,,,
3283115585077165,160,22,,,,,
3283118425076881,41,5,,,,,
3282804381774952,134,12,,,,,
3283113041744086,179,32,,,,,
3274167575971966,110,3,,,,,
3274171712638219,100,7,,,,,1
3273971645991559,92,10,,1,,,
3273958445992879,18,2,,,,,
3273944209327636,150,16,,,,1,
3174455802609811,138,13,,,,1,
3273879246000799,169,16,,,,1,
2808193505902711,236,30,,,,38,
3273854229336634,190,22,,,,,
3273806186008105,146,13,,1,,,
3264085310313526,735,148,,,,2,
3264052450316812,23,3,,,,,
3264076983647692,152,9,,1,,,
3269864116402312,44,1,,,,,
3264032920318765,120,11,,,,,
3159201787468546,85,4,,,,,
3267512293304161,510,66,,4,,,
3266318633423527,33,2,,,,,
3264012250320832,518,62,,3,,,
3263898016998922,87,4,,,,,
3263871957001528,95,4,,,,,
3263013760420681,49,2,,,,,
3261300857258638,87,9,,,,,1
3260575930664464,51,2,,,,,
3260520910669966,69,3,,,,,
3217073098348081,91,6,,1,,,
3218203344901723,34,4,,,,,
3203487859706605,116,8,,,,,
3252040761517981,41,1,,,,,
3218224384899619,92,,,1,,,
3218195784902479,29,2,,,,,
3248984725156918,68,5,,,,,
3239068116148579,30,,,,,,
3252035444851846,187,25,,2,,,
3218189938236397,96,4,,,,1,
3218175898237801,77,1,,,,,2
3174459412609450,603,151,,6,,,
3218171764904881,65,,,,,,
3239062106149180,101,9,,1,,,
3218159968239394,87,3,,,,,1
3218142618241129,65,3,,,,,
3218072904914767,59,3,,,,3,
3218061548249236,112,12,,,,,
3218052228250168,239,21,,1,,,
3218024138252977,64,2,,,1,,
3218016798253711,44,1,,1,,,
3217968724925185,40,1,,,,,
3239057969482927,87,8,,,,,
3203681529687238,81,3,,,,,
3217621421626582,37,,,,,,
3217955528259838,180,16,,,,,
3203673443021380,189,21,,1,,,
3217256871663037,50,,,,,,
3203660566356001,33,,,,,,
3217612091627515,87,2,,,,,
3203630213025703,72,4,,,,,
3217143178341073,60,8,,,,1,
3203641926357865,14,,,,,,
3203650589690332,220,23,,,,,
3227699790618745,44,2,,,,1,
3227689020619822,13,2,,,,,
3203179036404154,108,4,,,,,
3218620818193309,11,1,,,,,
3203609703027754,272,14,,2,,,
3217119655010092,44,1,,,,,
3217107351677989,56,3,,,,,
3218617231527001,34,3,,,,,
3203561826365875,129,2,,,,,
3203174726404585,80,2,,,,,
3217097278345663,49,1,,,,,
3217088571679867,61,6,,,,,
3203543179701073,216,16,,,,,
3203523196369738,63,7,,,,,
3203504516371606,114,8,,,,4,
3209184115803646,70,3,,,,,
3203514513037273,213,18,,,,,
3217056585016399,71,3,,,,,
3203171899738201,126,12,,,,2,
3203482303040494,37,,,,,1,
3159189360803122,121,1,,,,1,
3202671229788268,78,3,,,,1,
3202665633122161,13,,,,,,
3202659656456092,159,8,,,,1,
3202663019789089,17,1,,,,,
3203159393072785,294,32,,2,,,
3202649226457135,42,3,,,,1,
3209149019140489,63,3,,,,,
3202646303124094,124,9,,,,,
3202624393126285,174,11,,,,,
3206628942725830,122,3,,,1,,
3202615279793863,903,53,,,,336,
3202618833126841,82,2,,,1,,
3202610676460990,125,10,,,,,
3202604976461560,15,,,,,,
3202600206462037,231,17,,4,,,
3203155093073215,195,14,,,,1,
3159183287470396,66,2,,,,,
3202560773132647,25,,,,,,
3202557629799628,248,19,,,,,
3200072903381434,17,,,,,,
3199352973453427,161,15,,,,,
3200108103377914,475,41,,,,9,
3199318856790172,139,6,,,,,
3193673570688034,148,5,,,,,
3179673032088088,452,70,,1,,,
3193665320688859,83,8,,,,,
3193639877358070,110,6,,1,,,
3159178207470904,127,3,,,,,
3193632517358806,377,28,,,,,
3190284914360233,92,1,,,,,
3179670272088364,295,73,,,2,,
3190255114363213,83,3,,,,1,
3179002122155179,147,17,,1,,,
3174453552610036,140,9,,,,,
3174451325943592,201,15,,2,,,
3174446335944091,244,32,,1,,,
3179006212154770,92,8,,1,,,
3179666895422035,338,22,,1,,,
3174444405944284,388,79,,2,,,
3174436835945041,157,5,,,,,
3159159610806097,100,3,,,,,
3174352699286788,246,27,,,,1,
3179832815405443,65,9,,,,,
3179663968755661,14,,,,,,
3174346545954070,140,14,,,,,
3174343459287712,229,15,,2,,,
3174338982621493,105,7,,2,,,
3176944802360911,70,2,,,,,
3174334895955235,117,12,,,,,
3171721592883232,78,7,,,,,
3171723902883001,36,4,,,,,
3171715082883883,146,8,,,,1,
3170668166321908,251,23,,1,,,
3159152370806821,67,1,,,,,
3167909003264491,118,9,,1,,,
3170189409703117,2&nbsp,mil,274,,22,,
3167897749932283,166,15,,,,,
3167742193281172,278,33,,1,,,
3165377426850982,236,25,,1,,,
3165367240185334,137,10,,1,,,
3165313020190756,186,19,,3,,,
3164737853581606,73,11,,,,1,
3164940273561364,54,8,,,,,
3157138281008230,221,12,,1,,,
3142146955840696,184,17,,,,,
3156686967720028,115,5,,,,,
3156680287720696,91,2,,2,,,
3156671687721556,256,16,,1,,,
3156666754388716,46,2,,,,,
3159139407474784,109,2,,1,,,
3156674994387892,129,8,,,,,
3156869794368412,175,21,,3,,,
3157132084342183,,,,,,,
3156655547723170,240,21,,1,,,
3155871477801577,36,1,,,,,
3142143835841008,123,8,,1,,,
3139037526151639,226,13,,2,,,
3148824081839650,32,,,,,,
3148819875173404,"1,7&nbsp;mil",55,,,,27,
3148708018517923,83,9,,,,,
3151318594923532,2,1,,,,,
3145718642150194,59,1,,,,,
3142140825841309,74,5,,,,,
3148625481859510,66,10,,,,,
3138994202822638,113,3,,,,,
3147691078619617,57,3,,,,,
3145676288821096,123,7,,,,,
3139040816151310,15,7,,,,,
3145503872171671,128,1,,,,,
3139032539485471,208,14,,,,,
3145495828839142,94,6,,,,,
3139027529485972,38,10,,,,,
3139003592821699,159,5,,,,,
3142678319120893,109,2,,,,,
3141706499218075,195,16,,3,,,
3138986589490066,28,1,,,,,
3138982229490502,223,16,,,,1,
3138473999541325,155,10,,1,,,
3138460929542632,124,3,,,,1,
3138394772882581,43,1,,,,,
3135677296487662,61,1,,,,,
3135624969826228,102,3,,,,4,
3124635384258520,116,4,,,3,,
3124623497593042,"1,9&nbsp;mil",132,,,,9,
3124560897599302,418,17,,3,,,
3124603917595000,131,8,,,,,
3128390367216355,55,3,,,,,
3128384873883571,85,2,,,,,
3124533084268750,62,4,,,1,,
3124517570936968,114,7,,,,1,
3121826751206050,53,5,,,,,
3127958257259566,144,8,,,,,
3121663574555701,27,,,,,,
3108448825877176,373,38,,,,2,
3108482062540519,349,32,,,,4,
3108455735876485,151,15,,1,,,
3108471932541532,58,1,,,,1,
3108463539209038,127,6,,,,,
