post_id,brand_username,total_reactions,total_comments
1947257691818809835,offcorss,126,1
1947346707928591260,offcorss,391,0
1947372799242560159,offcorss,104,0
1947952244502703605,offcorss,323,2
1948073194162672935,offcorss,255,1
1948284380053077836,offcorss,662,4
1948805488864773596,offcorss,417,13
1948846197110028242,offcorss,159,0
1948951793922703940,offcorss,221,1
1949401715107201952,offcorss,358,0
1949522628444460393,offcorss,223,2
1949673611971528274,offcorss,350,4
1950126482307349365,offcorss,360,5
1950249576080323481,offcorss,126,1
1950488846181443737,offcorss,492,0
1951576008780141712,offcorss,289,0
1951763052241919982,offcorss,1392,57
1951908192439040686,offcorss,219,0
1952331125468914518,offcorss,193,0
1952421684913212296,offcorss,306,2
1952633032091490390,offcorss,533,0
1952995414563291749,offcorss,378,2
1953152909027806379,offcorss,115,4
1953327579230857036,offcorss,396,2
1953720184724335100,offcorss,212,1
1953901509033251073,offcorss,278,0
1954112739769166103,offcorss,324,1
1954475150174847513,offcorss,184,0
1954596018977232037,offcorss,129,0
1954746957482429143,offcorss,234,2
1955200002871647747,offcorss,1002,25
1955321037373789046,offcorss,398,5
1955536250754513474,offcorss,490,7
1955924797527567213,offcorss,439,0
1956045757656516941,offcorss,344,3
1956196580826843969,offcorss,183,0
1956649661456579338,offcorss,298,3
1956830866579933332,offcorss,294,3
1956981633798275931,offcorss,297,3
1957384114715553161,offcorss,220,9
1957525841386992471,offcorss,111,1
1957723132053589263,offcorss,252,4
1958103967843867762,offcorss,216,3
1958219994395770935,offcorss,773,9
1958401068471972429,offcorss,240,0
1958793637483567756,offcorss,1022,49
1958945240611871692,offcorss,506,25
1959125789333468604,offcorss,580,27
1959548635943423067,offcorss,280,5
1959775102188754878,offcorss,595,9
1959820429896412762,offcorss,265,3
1960303555524988635,offcorss,300,10
1960424436314486707,offcorss,614,11
1960545243661596603,offcorss,236,11
1960998133987234782,offcorss,353,2
1962056569522624476,offcorss,464,4
1962056882744946036,offcorss,367,2
1962057881895161843,offcorss,478,18
1962451454830345605,offcorss,319,0
1962453105415015249,offcorss,152,0
1962571716540254353,offcorss,167,0
1962750025018595794,offcorss,216,1
1962809373388273519,offcorss,215,1
1963267501124756464,offcorss,681,15
1963382563775310210,offcorss,129,0
1963547980809930831,offcorss,1133,20
1963927622976843365,offcorss,376,1
1964096579373396890,offcorss,556,3
1964274601296723558,offcorss,514,1
1964668557356624026,offcorss,251,0
1964903604827350890,offcorss,283,4
1965378895605659776,offcorss,492,0
1965405636575284498,offcorss,591,0
1965540840795095164,offcorss,320,2
1965692647764860020,offcorss,262,0
1966222802421722466,offcorss,898,23
1966461988378684769,offcorss,142,0
1966462513455061847,offcorss,557,3
1966989815574368025,offcorss,167,1
1967071950599509765,offcorss,180,4
1967469953130896644,offcorss,212,3
1967615551020544321,offcorss,191,1
1967774813130622508,offcorss,417,2
1967897908176849714,offcorss,227,2
1968522155928779214,offcorss,208,2
1968636117886378086,offcorss,229,3
1968650245652724240,offcorss,264,1
1969092153839597137,offcorss,278,1
1969242582460383265,offcorss,313,6
1969625386914397820,offcorss,745,12
1969933706090874962,offcorss,211,0
1970004360198839656,offcorss,273,0
1970514608831334346,offcorss,441,2
1970724755952547930,offcorss,671,0
1971181673456093262,offcorss,441,2
1971266149287158061,offcorss,122,0
1971502026199980147,offcorss,398,1
1971537577311823810,offcorss,494,7
1972041948090610287,offcorss,135,1
1972121309732975379,offcorss,1056,38
1972254077859197734,offcorss,468,12
1972681245642805040,offcorss,711,4
1972820369070875092,offcorss,288,4
1972994069829110285,offcorss,809,5
1973383180863696117,offcorss,347,6
1973549295695009597,offcorss,569,5
1974225707745624040,offcorss,269,3
1974234210824380638,offcorss,140,1
1974395148299065514,offcorss,189,0
1974436672703794029,offcorss,212,0
1974829427070197519,offcorss,636,14
1975010571560722368,offcorss,452,8
1975131281893250956,offcorss,383,4
1975580436094450680,offcorss,253,6
1975652917064913978,offcorss,129,0
1975826551318443623,offcorss,569,0
1976248631082321529,offcorss,1897,9
1976430477128930007,offcorss,380,3
1976580766397667251,offcorss,809,9
1977004535228183030,offcorss,465,11
1977192883712497303,offcorss,308,0
1977325584738417466,offcorss,496,1
1977715346150123012,offcorss,474,1
1977849226310249993,offcorss,290,1
1978049303915896841,offcorss,561,11
1978612059178069874,offcorss,183,0
1978656812745671131,offcorss,203,0
1978782551235318443,offcorss,373,2
1979087322574079750,offcorss,264,0
1979372523638065409,offcorss,455,2
1979479859591652754,offcorss,429,2
1979884243976678994,offcorss,482,2
1980075124411075896,offcorss,217,1
1980201334818486746,offcorss,1063,4
1980745046120317135,offcorss,531,0
1980917348002731887,offcorss,310,3
1981282201951290634,offcorss,650,6
1981301089841774456,offcorss,655,12
1982051991355726537,offcorss,294,4
1982052814966202885,offcorss,356,3
1982052952900086759,offcorss,480,14
1982258279421614468,offcorss,415,0
1982379053952395649,offcorss,177,0
1982801886713213402,offcorss,297,0
1983013433666483752,offcorss,563,4
1983164241183702047,offcorss,344,6
1983581099453722920,offcorss,324,0
1983676122350354442,offcorss,375,3
1984185929750642037,offcorss,259,3
1984190983130138885,offcorss,628,14
1984477722035645112,offcorss,633,5
1984553323878965620,offcorss,322,4
1984946274823019650,offcorss,343,3
1985097020926687431,offcorss,427,0
1985731793489128863,offcorss,256,0
1985731945708898292,offcorss,1545,8
1985912336044898091,offcorss,297,0
1986033209571302100,offcorss,604,2
1986583630366701070,offcorss,354,0
1986684360821885556,offcorss,493,4
1987160140379321013,offcorss,260,5
1987514747835951082,offcorss,1224,17
1988237681521555614,offcorss,310,0
1988792426434429529,offcorss,691,17
1989353129297919890,offcorss,203,0
1989518290929711796,offcorss,186,1
1989608854872072970,offcorss,343,0
1989899768718706749,offcorss,832,8
1990170767882746410,offcorss,331,3
1990320099778579457,offcorss,344,1
1990714041459174296,offcorss,313,0
1991097435943623400,offcorss,313,0
1991106720790995543,offcorss,484,0
1991483495060228432,offcorss,346,4
1991673746886077872,offcorss,636,6
1991801005022301912,offcorss,276,2
1992228796297543989,offcorss,115,0
1992346802965154753,offcorss,234,9
1992556401823669767,offcorss,153,0
1993010902954943154,offcorss,398,5
1993138209560592889,offcorss,230,0
1993221227964940642,offcorss,451,7
1993697338796589815,offcorss,193,0
1993796363973809895,offcorss,468,0
1993916603948610209,offcorss,292,3
1994431627930705272,offcorss,865,5
1994643232069228011,offcorss,260,0
1994708670786460474,offcorss,600,5
1995299114828836141,offcorss,170,0
1995349441695392738,offcorss,164,0
1995394888187605076,offcorss,262,0
1995849046402460741,offcorss,503,2
1996029850441028655,offcorss,219,4
1996210247548634579,offcorss,848,3
1996542347144324320,offcorss,406,0
1996663879752785290,offcorss,171,0
1996862837537658703,offcorss,398,2
1997280399702551564,offcorss,634,5
1997361244442277855,offcorss,221,2
1997569369254536648,offcorss,187,2
1998052848244350448,offcorss,645,30
1998221071652224707,offcorss,679,6
1998354598018146100,offcorss,399,5
1998742176520803305,offcorss,568,4
1998913288814949654,offcorss,645,10
