,0
8518,"robusto, rico, picante, con cuerpo,"
8519,picante
8520,con sabor a jengibre
8521,"grapy, uva,"
8522,"ágil,"
8523,"nuez, como nuez,"
8524,"picante, picante, sabroso, sabroso, picante,"
8525,"picante, acre,"
8526,salada
8527,مه آلود
8528,agria
8529,"de sabor fuerte,"
8530,"winy, winey,"
8531,insípido
8532,"Insípido, insípido, insípido, insípido, insípido, insípido, plano, insípido,"
8533,"sin sabor, sin sabor, sin sabor, sin sabor,"
8534,"sin condimentar, sin sal,"
8535,Evaluable
8536,"no tributable, exento,"
8537,libre de impuestos
8538,templado
8539,"ligero, abstemio,"
8540,"sobrio, moderado,"
8541,inmoderado
8542,"pesado, grande,"
8543,templado
8544,templado frío
8545,"ecuánime,"
8546,inmoderado
8547,laxo
8548,"flacidez, caída, caída,"
8549,limp
8550,"flojo, suelto,"
8551,articulaciones sueltas
8552,"sin tensión,"
8553,"suspenso, suspenso, morderse las uñas, colgar del acantilado,"
8554,tenso
8555,"picazón, inquietud, inquietud, ansiedad,"
8556,NERVIOSISMO
8557,Desgarre muscular
8558,"no relajado,"
8559,"cableado, bombeado, bombeado, bombeado,"
8560,relajado
8561,"degage,"
8562,"suave, relajado,"
8563,"sin esfuerzo,"
8564,hipotónico
8565,territorial
8566,"no territorial,"
8567,cuatro capas
8568,irregularidades de aserrado
8569,tres capas
8570,malla y contramalla
8571,"plano, comprimido,"
8572,deprimido
8573,"filiforme, filiforme, filamentoso, filiforme,"
8574,conclusión
8575,Iluminado
8576,Transición hiperfina
8577,"como el papel,"
8578,"ribbony, como una cinta,"
8579,Duda
8580,fino como una oblea
8581,coagulable
8582,"viscoso, almibarado,"
8583,delgado
8584,"enrarecido, enrarecido, raro,"
8585,"que puede pensar,"
8586,"imaginable, concebible,"
8587,"presumible, presumible, presumible,"
8588,inconcebible
8589,"inimaginable, fuera de discusión, inconcebible, imposible,"
8590,"Entonces, sin comprenderlo,"
8591,"preocupado, perdido, absorto en sus pensamientos, desconcertado,"
8592,"reflexivo, reflexivo, meditabundo, pensativo, meditativo, contemplativo, melancólico, melancólico,"
8593,"de meditación,"
8594,Bien pensado.
8595,deliberativo
8596,excogitativo
8597,Irreflexivo
8598,"desconsiderado, desconsiderado,"
8599,"irreflexivo, irreflexivo, irreflexivo,"
8600,económico
8601,"escatimar, ahorrador, escocés, frugal, económico,"
8602,centavo
8603,guardar
8604,malgastador
8605,"derrochador, derrochador, pródigo, extravagante,"
8606,de lo barato sale caro
8607,"antieconómico, antieconómico,"
8608,ordenado
8609,"recorte, trigonometría, corte limpio,"
8610,"ordenado, ordenado,"
8611,bárbaro
8612,"ruly,"
8613,"bien cuidado, recortado, forma de barco,"
8614,"pulido,"
8615,liso
8616,"despejado, despejado,"
8617,descuidado
8618,"desordenado, desordenado,"
8619,"despeinado, arrugado, fruncido, despeinado, despeinado,"
8620,"revuelto, revuelto, abrazador-asaltante, desordenado, desordenado,"
8621,"desaliñado, malhumorado, malhumorado,"
8622,"desordenado, desordenado,"
8623,"ralo,"
8624,enlodado
8625,holgazán
8626,"desordenado, desordenado, extendido, divagando,"
8627,desaliñado
8628,Preparada
8629,cepillado
8630,"ordenado, cuidado,"
8631,pomada
8632,filanta
8633,Bien arreglada
8634,"bien arreglado, bien vestido,"
8635,Desmejorado
8636,"peludo, peludo, peludo, tupido,"
8637,mal vestido
8638,sin cepillar
8639,Peinado
8640,incombustible
8641,desaliñado
8642,"estructura de madera,"
8643,"sin madera,"
8644,Matizado
8645,"sin tono,"
8646,lengua
8647,sin lengua
8648,Volcado
8649,"punta rosada,"
8650,punta de penacho
8651,"con punta de espina,"
8652,"con punta de espina,"
8653,punta amarilla
8654,sin propinas
8655,"estaba cansado,"
8656,"cansado, cansado,"
8657,"desgastado, raddled, demacrado, dibujado, preocupado,"
8658,"flaqueando, cayendo,"
8659,"Agotado, agotado, deslavado, agotado, agotado, fatigado, agotado, agotado, cansado de perro,"
8660,dolor de pies
8661,"cansado, hastiado,"
8662,"agotado,"
